mode,embedding_name,embedding_label,embedding_family,embedding_source,algorithm,k,eps,min_samples,n_neighbors,assign_labels,n_init,max_iter,metric,evaluation_metric,linkage,n_docs,affinity,gamma,silhouette,davies_bouldin,ari,dunn,metrics_eligible,n_clusters,n_clustered_docs,n_noise,noise_ratio,coverage_ratio,cluster_size_min,cluster_size_max,cluster_size_mean,cluster_size_median,cluster_size_std,largest_cluster_ratio,largest_cluster_doc_ratio,tiny_cluster_count,tiny_cluster_doc_ratio,runtime_sec,selection_eligible,analysis_eligible
full,tfidf_var_max_features_15000,Variation: max_features_15000,static_tfidf_svd,sklearn_pipeline,hierarchical,20,,0,0,,0,0,cosine,cosine,average,17980,,,0.014570665007203276,3.3383820390094656,0.08542082576099397,0.08977370189251345,1.0,20.0,17980.0,0.0,0.0,1.0,24.0,7884.0,899.0,182.0,1745.691410301374,0.4384872080088988,0.4384872080088988,0.0,0.0,19.416775465011597,True,True
full,tfidf_var_max_features_15000,Variation: max_features_15000,static_tfidf_svd,sklearn_pipeline,hierarchical,30,,0,0,,0,0,cosine,cosine,average,17980,,,0.007873285851733858,3.207979821629649,0.09463239927909678,0.08977370189251345,1.0,30.0,17980.0,0.0,0.0,1.0,24.0,7199.0,599.3333333333334,166.5,1327.92583460908,0.4003893214682981,0.4003893214682981,0.0,0.0,19.80200719833374,True,True
full,tfidf_var_max_features_15000,Variation: max_features_15000,static_tfidf_svd,sklearn_pipeline,hierarchical,25,,0,0,,0,0,cosine,cosine,average,17980,,,0.007412272298565663,3.2523062426214504,0.08903038295201665,0.08977370189251345,1.0,25.0,17980.0,0.0,0.0,1.0,24.0,7547.0,719.2,163.0,1517.026301683659,0.41974416017797556,0.41974416017797556,0.0,0.0,19.490846633911133,True,True
full,tfidf_var_max_features_15000,Variation: max_features_15000,static_tfidf_svd,sklearn_pipeline,hierarchical,10,,0,0,,0,0,cosine,cosine,average,17980,,,0.006164144504001161,3.412593141916593,0.0321626719160459,0.08977370189251345,1.0,10.0,17980.0,0.0,0.0,1.0,40.0,11967.0,1798.0,87.5,3580.484240993109,0.6655728587319244,0.6655728587319244,0.0,0.0,19.31749200820923,True,True
full,tfidf_var_max_features_5000,Variation: max_features_5000,static_tfidf_svd,sklearn_pipeline,hierarchical,30,,0,0,,0,0,euclidean,euclidean,ward,17977,,,0.03296359268971643,3.741611830177692,0.1373870609086192,0.20574343020759855,1.0,30.0,17977.0,0.0,0.0,1.0,79.0,2958.0,599.2333333333333,471.5,523.852185470503,0.16454358346776438,0.16454358346776438,0.0,0.0,19.922765970230103,True,True
full,tfidf_var_max_features_5000,Variation: max_features_5000,static_tfidf_svd,sklearn_pipeline,hierarchical,25,,0,0,,0,0,euclidean,euclidean,ward,17977,,,0.027575739335133537,3.7197060313583745,0.1205189477391617,0.20574343020759855,1.0,25.0,17977.0,0.0,0.0,1.0,79.0,3946.0,719.08,432.0,804.1243147673126,0.21950269789175056,0.21950269789175056,0.0,0.0,19.75862693786621,True,True
full,tfidf_var_max_features_5000,Variation: max_features_5000,static_tfidf_svd,sklearn_pipeline,hierarchical,15,,0,0,,0,0,euclidean,euclidean,ward,17977,,,0.026488602959896565,4.344930167001654,0.12816472591995795,0.25970174000596813,1.0,15.0,17977.0,0.0,0.0,1.0,259.0,4411.0,1198.4666666666667,879.0,1141.5576415095686,0.2453690827168048,0.2453690827168048,0.0,0.0,19.066417694091797,True,True
full,tfidf_var_max_features_5000,Variation: max_features_5000,static_tfidf_svd,sklearn_pipeline,hierarchical,10,,0,0,,0,0,euclidean,euclidean,ward,17977,,,0.024420359543104602,4.820805146073253,0.11017705550509056,0.25970174000596813,1.0,10.0,17977.0,0.0,0.0,1.0,516.0,5716.0,1797.7,1163.0,1621.5872501965473,0.31796184012905376,0.31796184012905376,0.0,0.0,18.70086932182312,True,True
full,tfidf_var_max_features_5000,Variation: max_features_5000,static_tfidf_svd,sklearn_pipeline,hierarchical,20,,0,0,,0,0,euclidean,euclidean,ward,17977,,,0.024320126645501722,4.017583827999317,0.11570563786969298,0.20574343020759855,1.0,20.0,17977.0,0.0,0.0,1.0,259.0,4411.0,898.85,537.0,949.7641957349203,0.2453690827168048,0.2453690827168048,0.0,0.0,19.443622589111328,True,True
full,tfidf_var_max_features_5000,Variation: max_features_5000,static_tfidf_svd,sklearn_pipeline,hierarchical,25,,0,0,,0,0,cosine,cosine,average,17977,,,0.012612938876146588,3.4819900883071084,0.09279088483124638,0.08450687904825945,1.0,25.0,17977.0,0.0,0.0,1.0,49.0,7465.0,719.08,153.0,1495.5692941485527,0.41525282305167716,0.41525282305167716,0.0,0.0,19.73911690711975,True,True
